food,category,type,serving-amt,serving-unit,calories,totalfat-amt,totalfat-unit,totalcarb-amt,totalcarb-unit,protein-amt,protein-unit
bagel-everything-country-harvest,carb,basic,75,g,210,2.5,g,41,g,8,g
brown-rice,carb,basic,98,g,109,0.8,g,23,g,2.3,g
cereal-ancient-grains,carb,basic,106,g,480,18,g,72,g,11,g
cereal-granola,carb,basic,96,g,450,17,g,65,g,10,g
cereal-mix,carb,recipe,871,g,4792.9,339.7,g,353.2,g,131.8,g
cheese-bread-costco,carb,basic,75,g,190,6,g,25,g,9,g
cheese-bun,carb,basic,62,g,190,7,g,22,g,9,g
clif-bar,carb,basic,50,g,230,11,g,26,g,7,g
english-muffin-costco,carb,basic,55,g,120,1,g,23,g,4,g
pasta-uncooked,carb,basic,85,g,310,1,g,62,g,12,g
white-rice,carb,basic,158,g,205,0.4,g,44.5,g,4.3,g
cheddar-cheese-crackerbarrel-marble,dairy,basic,30,g,120,10,g,0,g,7,g
feta,dairy,basic,30,g,90,7,g,0,g,6,g
yoghurt-9%,dairy,basic,175,g,230,14,g,22,g,5,g
apple,fruit,basic,100,g,52,0.2,g,14,g,0.3,g
banana,fruit,basic,100,g,89,0.3,g,23,g,1.1,g
dried-mango,fruit,basic,40,g,140,0,g,34,g,1,g
frozen-berries,fruit,basic,140,g,60,0.5,g,16,g,1,g
grapes-red,fruit,basic,49,g,34,0.1,g,8.9,g,0.4,g
orange-navel,fruit,basic,100,g,47,0.1,g,12,g,0.9,g
strawberries,fruit,basic,90,g,29,0.3,g,6.9,g,0.6,g
thats-it-bar,fruit,basic,20,g,50,0,g,12,g,1,g
dq-dilly-bar,junk,basic,88,g,200,10,g,27,g,3,g
dq-ice-cream-sandwich,junk,basic,88,g,200,8,g,32,g,4,g
paqui-zesty-salsa-verde,junk,basic,50,g,250,13,g,32,g,4,g
skor-mini,junk,basic,43,g,230,14,g,28,g,1,g
chicken-kirkland-sandwich,meat,basic,60,g,60,1,g,0,g,12,g
pepperettes-honey-garlic,meat,basic,25,g,120,10,g,2,g,5,g
pepperettes-original,meat,basic,27,g,80,6,g,2,g,4,g
pork-chop,meat,basic,170,g,332,11.7,g,0,g,52.7,g
rotisserie-chicken,meat,basic,299,g,550,24,g,0.1,g,82,g
salami,meat,basic,30,g,100,8,g,0,g,7,g
juice-box,snack (mL),basic,200,g,80,0,g,21,g,0,g
mixed-nuts,snack,basic,50,g,300,26,g,12,g,9,g
olive-oil,fat,basic,14,g,119,14,g,0,g,0,g
sauce-kirkland,can (mL),basic,60,g,25,0.1,g,6,g,1,g
baby-carrots,vegetable,basic,100,g,35,0.1,g,8.2,g,0.6,g
broccoli,vegetable,basic,100,g,34,0.4,g,7,g,2.8,g
cherry-tomatoes,vegetable,basic,17,g,3,0,g,1,g,0,g
cucumber,vegetable,basic,201,g,30,0.2,g,7.3,g,1.3,g
onion,vegetable,basic,94,g,41,0.2,g,9.5,g,1.3,g
red-onion,vegetable,basic,94,g,41,0.2,g,9.5,g,1.3,g
red-pepper,vegetable,basic,114,g,32,0.2,g,7.6,g,1,g
snap-peas,vegetable,basic,2.6,g,1.1,0,g,0.2,g,0.1,g
zucchini,vegetable,basic,200,g,30,0.7,g,5.4,g,2.3,g
