date,meal,food,portion-amt,portion-unit
09-Jun-23,cereal-mix,mixed-nuts,541,g
09-Jun-23,cereal-mix,cereal-granola,330,g
,,,,
20-Jun-23,cereal-mix,mixed-nuts,237,g
20-Jun-23,cereal-mix,cereal-granola,286,g
20-Jun-23,cereal-mix,cereal-ancient-grains,262,g
,,,,
28-Jun-23,pasta-sauce,zucchini,452,g
28-Jun-23,pasta-sauce,onion,80,g
28-Jun-23,pasta-sauce,red-pepper,166,g
28-Jun-23,pasta-sauce,rotisserie-chicken,197,g
28-Jun-23,pasta-sauce,olive-oil,28,g
28-Jun-23,pasta-sauce,sauce-kirkland,60,g
,,,,
28-Jun-23,pasta-cooked,pasta-uncooked,758,g
