food,category,serving-amt,serving-unit,calories,totalfat-amt,totalfat-unit,totalcarb-amt,totalcarb-unit,protein-amt,protein-unit
broccoli,basic,100,g,34,0.4,g,7,g,2.8,g
rotisserie-chicken,basic,299,g,550,24,g,0.1,g,82,g
white-rice,basic,158,g,205,0.4,g,44.5,g,4.3,g
brown-rice,basic,98,g,109,0.8,g,23,g,2.3,g
cherry-tomatoes,basic,17,g,3,0,g,1,g,0,g
cucumber,basic,201,g,30,0.2,g,7.3,g,1.3,g
baby-carrots,basic,100,g,35,0.1,g,8.2,g,0.6,g
snap-peas,basic,2.6,g,1.1,0,g,0.2,g,0.1,g
banana,basic,100,g,89,0.3,g,23,g,1.1,g
cereal-granola,basic,96,g,450,17,g,65,g,10,g
mixed-nuts,basic,50,g,300,26,g,12,g,9,g
frozen-berries,basic,140,g,60,0.5,g,16,g,1,g
apple,basic,100,g,52,0.2,g,14,g,0.3,g
juice-box,basic,200,g,80,0,g,21,g,0,g
clif-bar,basic,50,g,230,11,g,26,g,7,g
thats-it-bar,basic,20,g,50,0,g,12,g,1,g
yoghurt-9%,basic,175,g,230,14,g,22,g,5,g
strawberries,basic,90,g,29,0.3,g,6.9,g,0.6,g
cheese-bun,basic,62,g,190,7,g,22,g,9,g
orange-navel,basic,100,g,47,0.1,g,12,g,0.9,g
salami,basic,30,g,100,8,g,0,g,7,g
cereal-mix,recipe,871,g,4792.9,339.7,g,353.2,g,131.8,g
dried-mango,basic,40,g,140,0,g,34,g,1,g
paqui-zesty-salsa-verde,basic,50,g,250,13,g,32,g,4,g
