date,meal,food,portion,calories,protein,totalcarb,totalfat
09-Jun-23,cereal-mix,mixed-nuts,541.0,3246.0,97.4,129.8,281.3
09-Jun-23,cereal-mix,cereal-granola,330.0,1546.9,34.4,223.4,58.4
20-Jun-23,cereal-mix,mixed-nuts,237.0,1422.0,42.7,56.9,123.2
20-Jun-23,cereal-mix,cereal-granola,286.0,1340.6,29.8,193.6,50.6
20-Jun-23,cereal-mix,cereal-ancient-grains,262.0,1186.4,27.2,178.0,44.5
28-Jun-23,pasta-sauce,zucchini,452.0,67.8,5.2,12.2,1.6
28-Jun-23,pasta-sauce,onion,80.0,34.9,1.1,8.1,0.2
28-Jun-23,pasta-sauce,red-pepper,166.0,46.6,1.5,11.1,0.3
28-Jun-23,pasta-sauce,rotisserie-chicken,197.0,362.4,54.0,0.1,15.8
28-Jun-23,pasta-sauce,olive-oil,28.0,238.0,0.0,0.0,28.0
28-Jun-23,pasta-sauce,sauce-kirkland,60.0,25.0,1.0,6.0,0.1
28-Jun-23,pasta-cooked,pasta-uncooked,758.0,2764.5,107.0,552.9,8.9
