date,food,portion,calories,protein,totalcarb,totalfat
05-Jun-23,rotisserie-chicken,78.0,143.5,21.4,0.0,6.3
05-Jun-23,white-rice,214.0,277.7,5.8,60.3,0.5
05-Jun-23,brown-rice,214.0,238.0,5.0,50.2,1.7
05-Jun-23,cherry-tomatoes,180.0,31.8,0.0,10.6,0.0
05-Jun-23,cucumber,132.0,19.7,0.9,4.8,0.1
05-Jun-23,baby-carrots,140.0,49.0,0.8,11.5,0.1
05-Jun-23,snap-peas,118.0,49.9,4.5,9.1,0.0
06-Jun-23,broccoli,37.0,12.6,1.0,2.6,0.1
06-Jun-23,rotisserie-chicken,90.0,165.6,24.7,0.0,7.2
06-Jun-23,white-rice,128.5,166.7,3.5,36.2,0.3
06-Jun-23,brown-rice,128.5,142.9,3.0,30.2,1.0
06-Jun-23,cherry-tomatoes,150.0,26.5,0.0,8.8,0.0
06-Jun-23,cucumber,188.0,28.1,1.2,6.8,0.2
06-Jun-23,baby-carrots,160.0,56.0,1.0,13.1,0.2
06-Jun-23,snap-peas,115.0,48.7,4.4,8.8,0.0
07-Jun-23,broccoli,66.0,22.4,1.8,4.6,0.3
07-Jun-23,rotisserie-chicken,87.0,160.0,23.9,0.0,7.0
07-Jun-23,white-rice,83.0,107.7,2.3,23.4,0.2
07-Jun-23,brown-rice,83.0,92.3,1.9,19.5,0.7
07-Jun-23,cherry-tomatoes,158.0,27.9,0.0,9.3,0.0
07-Jun-23,cucumber,154.0,23.0,1.0,5.6,0.2
07-Jun-23,baby-carrots,118.0,41.3,0.7,9.7,0.1
07-Jun-23,snap-peas,87.0,36.8,3.3,6.7,0.0
07-Jun-23,banana,145.0,129.0,1.6,33.4,0.4
07-Jun-23,cereal-granola,56.4,264.4,5.9,38.2,10.0
07-Jun-23,mixed-nuts,37.6,225.6,6.8,9.0,19.6
07-Jun-23,frozen-berries,80.0,34.3,0.6,9.1,0.3
07-Jun-23,apple,141.0,73.3,0.4,19.7,0.3
07-Jun-23,juice-box,200.0,80.0,0.0,21.0,0.0
07-Jun-23,clif-bar,50.0,230.0,7.0,26.0,11.0
07-Jun-23,thats-it-bar,20.0,50.0,1.0,12.0,0.0
08-Jun-23,rotisserie-chicken,91.0,167.4,25.0,0.0,7.3
08-Jun-23,white-rice,64.0,83.0,1.7,18.0,0.2
08-Jun-23,brown-rice,64.0,71.2,1.5,15.0,0.5
08-Jun-23,cherry-tomatoes,202.0,35.6,0.0,11.9,0.0
08-Jun-23,banana,119.0,105.9,1.3,27.4,0.4
08-Jun-23,cereal-granola,65.1,305.2,6.8,44.1,11.5
08-Jun-23,mixed-nuts,27.9,167.4,5.0,6.7,14.5
08-Jun-23,frozen-berries,61.0,26.1,0.4,7.0,0.2
08-Jun-23,yoghurt-9%,110.0,144.6,3.1,13.8,8.8
08-Jun-23,strawberries,208.0,67.0,1.4,15.9,0.7
09-Jun-23,rotisserie-chicken,98.0,180.3,26.9,0.0,7.9
09-Jun-23,baby-carrots,105.0,36.8,0.6,8.6,0.1
09-Jun-23,banana,124.0,110.4,1.4,28.5,0.4
09-Jun-23,cereal-granola,64.4,301.9,6.7,43.6,11.4
09-Jun-23,mixed-nuts,27.6,165.6,5.0,6.6,14.4
09-Jun-23,frozen-berries,123.0,52.7,0.9,14.1,0.4
09-Jun-23,yoghurt-9%,81.0,106.5,2.3,10.2,6.5
09-Jun-23,strawberries,50.0,16.1,0.3,3.8,0.2
09-Jun-23,cheese-bun,159.0,487.3,23.1,56.4,18.0
09-Jun-23,orange-navel,319.0,149.9,2.9,38.3,0.3
