date,desc,start,end
03-Jul-23,RB185 (lesson1),13:22,13:56
03-Jul-23,RB185 (lesson1),14:11,14:23
03-Jul-23,RB185 (lesson1),17:10,18:17
03-Jul-23,RB185 (lesson1),21:35,21:46
04-Jul-23,RB185 (lesson1),8:38,10:06
04-Jul-23,RB185 (lesson1),10:45,11:35
04-Jul-23,RB185 (lesson2),11:35,11:44
04-Jul-23,RB185 (lesson2),15:30,16:39
05-Jul-23,RB185 (lesson2),9:59,11:15
05-Jul-23,RB185 (lesson2),11:20,11:30
05-Jul-23,RB185 (lesson2),22:15,23:17
10-Jul-23,RB185 (lesson3),8:58,9:19
10-Jul-23,RB185 (lesson3),9:27,10:15
10-Jul-23,RB185 (lesson3),12:59,13:56
10-Jul-23,RB189 (study guide),13:56,14:03
10-Jul-23,RB185 (deploy postgresql),14:16,14:53
10-Jul-23,RB185 (deploy postgresql),15:08,16:06
10-Jul-23,RB185 (inventorydb),16:35,16:50
11-Jul-23,RB185 (inventorydb),9:03,9:56
11-Jul-23,RB185 (inventorydb),11:35,12:03
11-Jul-23,RB185 (inventorydb),12:15,12:29
11-Jul-23,RB185 (inventorydb),12:43,12:58
11-Jul-23,RB185 (inventorydb),13:39,14:35
11-Jul-23,RB185 (inventorydb),14:47,15:55
11-Jul-23,RB185 (inventorydb),16:30,16:47
11-Jul-23,RB185 (inventorydb),17:01,17:33
11-Jul-23,RB185 (inventorydb),19:39,20:43
11-Jul-23,RB185 (inventorydb),23:22,23:48
12-Jul-23,RB185 (inventorydb),8:56,9:50
12-Jul-23,RB185 (inventorydb),11:00,11:51
12-Jul-23,RB185 (inventorydb),13:06,13:52
12-Jul-23,RB185 (inventorydb),14:00,14:34
12-Jul-23,RB185 (inventorydb),14:42,15:16
12-Jul-23,RB185 (inventorydb),16:41,18:30
